volume (ml),Absorbance (mAU),volume (mL),Buffer B Concentration (%)
1.643088,49.302803,16.427557,0
1.646739,49.190632,16.464064,0
1.65039,49.004925,16.500568,0
1.654042,48.888386,16.537075,0
1.657693,48.846107,16.57358,0
1.661344,48.814758,16.610086,0
1.664996,48.789055,16.646591,0
1.668647,48.763233,16.683098,0
1.672298,48.736866,16.719603,0
1.67595,48.673912,16.756109,0
1.679601,48.616352,16.792614,0
1.683252,48.58152,16.829121,0
1.686903,48.536434,16.865625,0
1.690555,48.472828,16.902132,0
1.694206,48.466915,16.938637,0
1.697857,48.511288,16.975143,0
1.701509,48.480484,17.011648,0
1.70516,48.4193,17.048155,0
1.708811,48.360649,17.08466,0
1.712463,48.298725,17.121166,0
1.716114,48.186512,17.157671,0
1.719765,48.073578,17.194178,0
1.723417,47.958435,17.230682,0
1.727068,47.859234,17.267189,0
1.730719,47.781746,17.303694,0
1.73437,47.743355,17.3402,0
1.738022,47.730843,17.376705,0
1.741673,47.701767,17.413212,0
1.745324,47.667782,17.449717,0
1.748976,47.61816,17.486223,0
1.752627,47.548756,17.522728,0
1.756278,47.326889,17.559235,0
1.75993,47.155155,17.595739,0
1.763581,47.106762,17.632246,0
1.767232,47.086498,17.668751,0
1.770884,47.098652,17.705257,0
1.774535,47.08709,17.741762,0
1.778186,47.062393,17.778269,0
1.781837,47.021561,17.814774,0
1.785489,46.977215,17.85128,0
1.78914,46.96339,17.887785,0
1.792791,46.949116,17.924292,0
1.796443,46.932549,17.960796,0
1.800094,46.937134,17.997303,0
1.803745,46.98291,18.033808,0
1.807397,46.99625,18.070314,0
1.811048,46.979374,18.106819,0
1.814699,46.97205,18.143326,0
1.818351,46.96896,18.179831,0
1.822002,46.873245,18.216337,0
1.825653,46.763393,18.252842,0
1.829304,46.64838,18.289349,0
1.832956,46.54351,18.325853,0
1.836607,46.474392,18.36236,0
1.840258,46.438469,18.398865,0
1.84391,46.452572,18.435371,0
1.847561,46.43438,18.471876,0
1.851212,46.392204,18.508383,0
1.854864,46.346512,18.544888,0
1.858515,46.29953,18.581394,0
1.862166,46.121696,18.617899,0
1.865818,45.943367,18.654406,0
1.869469,45.902138,18.69091,0
1.87312,45.87244,18.727415,0
1.876771,45.874916,18.763922,0
1.880423,45.880051,18.800426,0
1.884074,45.88855,18.836933,0
1.887725,45.927544,18.873438,0
1.891377,45.985569,18.909945,0
1.895028,46.008224,18.946449,0
1.898679,46.021729,18.982956,0
1.902331,45.99221,19.019461,0
1.905982,45.969246,19.055967,0
1.909633,45.994156,19.092472,0
1.913285,46.00779,19.128979,0
1.916936,45.996975,19.165483,0
1.920587,46.008114,19.20199,0
1.924238,46.041973,19.238495,0
1.92789,45.983562,19.275002,0
1.931541,45.879421,19.311506,0
1.935192,45.755032,19.348013,0
1.938844,45.629002,19.384518,0
1.942495,45.570572,19.421024,0
1.946146,45.526642,19.457529,0
1.949798,45.538376,19.494036,0
1.953449,45.532425,19.53054,0
1.9571,45.497841,19.567047,0
1.960751,45.448681,19.603552,0
1.964403,45.38702,19.640059,0
1.968054,45.247437,19.676563,0
1.971705,45.076687,19.71307,0
1.975357,45.003494,19.749575,0
1.979008,44.945091,19.786081,0
1.982659,44.927952,19.822586,0
1.986311,44.915497,19.859093,0
1.989962,44.917469,19.895597,0
1.993613,44.916634,19.932104,0
1.997265,44.911964,19.968609,0
2.000916,44.904728,20.005116,0
2.004567,44.895798,20.04162,0
2.008219,44.868889,20.078127,0
2.01187,44.836918,20.114632,0
2.015521,44.856701,20.151138,0
2.019172,44.878578,20.187643,0
2.022824,44.892673,20.22415,0
2.026475,44.91753,20.260654,0
2.030126,44.96759,20.297161,0
2.033777,44.95549,20.333666,0
2.037429,44.874523,20.370173,0
2.04108,44.775475,20.406677,0
2.044732,44.666939,20.443184,0
2.048383,44.582371,20.479689,0
2.052034,44.502655,20.516195,0
2.055686,44.423912,20.5527,0
2.059337,44.347744,20.589207,0
2.062988,44.282627,20.625711,0
2.066639,44.219643,20.662218,0
2.070291,44.160736,20.698723,0
2.073942,44.059967,20.735229,0
2.077593,43.920681,20.771734,0
2.081244,43.847679,20.808241,0
2.084896,43.803524,20.844746,0
2.088547,43.777126,20.881252,0
2.092198,43.752991,20.917757,0
2.09585,43.723503,20.954264,0
2.099501,43.709003,20.990768,0
2.103153,43.744999,21.027275,0
2.106804,43.770725,21.06378,0
2.110455,43.781437,21.100285,0
2.114106,43.768105,21.136791,0
2.117758,43.737637,21.173296,0
2.121409,43.741131,21.209803,0
2.12506,43.756142,21.246307,0
2.128711,43.741234,21.282814,0
2.132363,43.730331,21.319319,0
2.136014,43.7743,21.355825,0
2.139665,43.774017,21.39233,0
2.143317,43.659832,21.428837,0
2.146968,43.538582,21.465342,0
2.15062,43.408787,21.501848,0
2.154271,43.309769,21.538353,0
2.157922,43.229385,21.57486,0
2.161573,43.196899,21.611364,0
2.165225,43.176331,21.647871,0
2.168876,43.148769,21.684376,0
2.172527,43.116959,21.720882,0
2.176178,43.058647,21.757387,0
2.17983,42.975632,21.793894,0
2.183481,42.837448,21.830399,0
2.187132,42.747234,21.866905,0
2.190784,42.707626,21.90341,0
2.194435,42.666931,21.939917,0
2.198086,42.625687,21.976421,0
2.201738,42.606377,22.012928,0
2.205389,42.591503,22.049433,0
2.20904,42.597427,22.085939,0
2.212692,42.601738,22.122444,0
2.216343,42.599438,22.158951,0
2.219994,42.597267,22.195456,0
2.223645,42.595314,22.231962,0
2.227297,42.613354,22.268467,0
2.230948,42.648617,22.304974,0
2.234599,42.667366,22.341478,0
2.238251,42.67963,22.377985,0
2.241902,42.722664,22.41449,0
2.245553,42.758377,22.450996,0
2.249205,42.649693,22.487501,0
2.252856,42.540913,22.524008,0
2.256507,42.431866,22.560513,0
2.260159,42.347378,22.597019,0
2.26381,42.295475,22.633524,0
2.267461,42.237556,22.670031,0
2.271112,42.175713,22.706535,0
2.274764,42.12672,22.743042,0
